id,name,shortName,industry,industryLabel,icon,tagline,description,headquarters,factory,phone,email,careersUrl,careersLabel,roles,chemDivisions,labFacilities,featured,students
spmc,State Pharmaceuticals Manufacturing Corporation (SPMC),SPMC,pharma,Pharmaceutical,💊,Government-owned pharmaceutical manufacturer established in 1987,A government-owned pharmaceutical manufacturer established in 1987. It produces a wide range of essential generic drugs and adheres to international standards like WHO-GMP.,"No. 11, Sir John Kotelawala Mawatha, Kandawala Estate, Ratmalana, Sri Lanka.",,+94 11 2636966 / +94 11 2635353,chairman@spmc.gov.lk,https://spmc.gov.lk/about-spmc/careers,Visit SPMC Careers,Analytical Chemist;Microbiologist;QC Analyst;Production Supervisor,,Analytical Labs;Microbiology Labs;HPLC;GC;UV-Vis Spectrophotometer;Dissolution Testers,TRUE,
aipl,Analytical Instruments (Pvt) Ltd (AIPL),AIPL,pharma,Pharmaceutical Products & Tech,💊,"Advanced laboratory, medical, and analytical tech products","Established in 1989, AIPL supplies advanced laboratory, medical, and analytical technology products and services across multiple sectors.","No. 100, Elvitigala Mawatha, Colombo 08, Sri Lanka.",,+94 11 263 9000 / +94 11 269 9282,analytical@aipl.lk,https://health.aipl.lk/careers/,Visit AIPL Careers,Technical Support Specialist;Service Engineer;Product Specialist,,Spectroscopy Systems;Chromatography Equipment;SEM Systems;XPS Systems;High-End Analytical Tools,FALSE,
navesta,Navesta Pharmaceuticals (Pvt) Ltd,Navesta,pharma,Pharmaceutical,💊,Specializing in sterile products & injectable beta-lactam antibiotics,"A privately-held manufacturer specializing in sterile products, particularly dry-powder injectable beta-lactam antibiotics. First of its kind in Sri Lanka.","Rajagiriya, Colombo, Sri Lanka","Horana, Sri Lanka",+94 11 286 1800 (Head Office) / +94 34 225 4200 (Factory),info@navesta.com,https://www.navesta.com/,Visit Navesta LinkedIn,Microbiologist;QC Executive;QA Agent;Validation Executive,,EU-GMP Compliant A & B Grade Microbiology Labs;Clean Rooms;Walk-in Incubators;Calibrated Measurement Instruments,FALSE,
spc,State Pharmaceuticals Corporation of Sri Lanka (SPC),SPC,pharma,Pharmaceutical Procurement,💊,Central procurement & supply of pharmaceuticals and lab equipment,State-owned enterprise established in 1971 for central procurement and supply of pharmaceuticals and lab equipment. Performs quality assurance testing of products before supply.,"16th Floor, MEHEWARA PIYASA, No. 41, Kirula Road, Colombo 05, Sri Lanka.",,+94 11 2320350,chairman@spc.lk,https://spc.lk/careers.php,Visit SPC Careers,QA Analyst;Procurement Chemist;QC Testing Officer,,HPLC;GC;Karl Fischer Titrators;Dissolution Testers,FALSE,
astron,Astron Limited,Astron,pharma,Pharmaceutical,💊,Sri Lanka's first pharmaceutical manufacturing facility,"Incorporated in 1956, Astron is the first pharmaceutical manufacturing facility in Sri Lanka. It manufactures healthcare, herbal, and animal health products.","No. 688, Galle Road, Ratmalana, Western Province, Sri Lanka.","No. 688, Galle Road, Ratmalana, Western Province, Sri Lanka.",+94 11 214 8799 / +94 11 263 6741,careers@astron.lk,https://astron.lk/index.php/careers/vacancies,Visit Astron Careers,Product Development Chemist;Microbiology Lab Analyst;QC Executive;Production Pharmacist,,ISO/IEC 17025:2017 Accredited Chemical Lab;Accredited Microbiology Lab;UV-Visible Spectrophotometers;HPLC;Stability Chambers,FALSE,
theon,Theon Pharmaceuticals Ltd.,Theon Pharma,pharma,Pharmaceutical,💊,WHO-GMP certified manufacturer of tablets and injectables,"An Indian WHO-GMP certified manufacturer producing finished dosage forms like tablets and injectables, supplying the global and Sri Lankan markets.","Haryana, India (Corporate)","Himachal Pradesh, India (Manufacturing)",+91 0172-5210200,info@theonpharma.com,https://theonpharma.com/careers/,Visit Theon Careers,R&D Scientist;QC Technician;Formulation Specialist,,Dedicated R&D Centre;QC Laboratories;HPLC;Stability Chambers,FALSE,
cipla,Cipla Pharma Lanka Pvt Ltd,Cipla Lanka,pharma,Pharmaceutical Distribution,💊,"Distributing respiratory, cardiac, and acute therapies","Sri Lankan arm of Cipla Limited, focusing on marketing and distributing respiratory, cardiac, and acute therapies locally.","345 - 4/1, Galle Road, Colombo - 03, Sri Lanka.",Global Manufacturing Hubs,+94 11 2577 731 / +94 11 2577 730,drugsafety@cipla.com,https://www.cipla.com/careers,Visit Cipla Careers,Medical Representative;Regulatory Affairs Specialist;Supply Chain Executive,,"Global: HPLC, GC, Microbiology Labs",FALSE,
yaden,Yaden Laboratories (Pvt) Ltd,Yaden Labs,pharma,Pharmaceutical,💊,"Specializing in sterile medicines, injectables, and drops","A privately held manufacturer specializing in sterile medicines, injectables, and eye/ear drops.","Colombo 10, Sri Lanka.","Katunayake Export Processing Zone, Sri Lanka.",+94 112 687 330,info@yadenlabs.com,https://yadenlabs.com/careers/,Visit Yaden Careers,Sterile Environment specialist;QC Lab Technician;Raw Materials Analyst,,Advanced QC Laboratories;Raw Material Testing Hub;In-Process Analysis Equip.;Stability Studies Chambers,FALSE,
nestle,Nestlé Lanka PLC,Nestlé Lanka,food,Food & Beverage,🍽️,"World's largest nutrition, health, and wellness company subsidiary","A subsidiary of the global Nestlé Group, it is the world’s largest nutrition, health, and wellness company, producing milk powder, coffee, cereals, and culinary products.","440, T.B. Jayah Mawatha, Colombo 10, Sri Lanka","Kurunegala Factory, Sri Lanka",+94 11 269 9991 / Consumer services: +94 11 4724724,careers.lanka@lk.nestle.com,https://www.nestle.lk/,Visit Nestlé Website,Food Technologist;QC Chemist;Nutrition Scientist;Lab Analyst;Process Engineer,,ISO/IEC 17025 Accredited Chemical & Biological Testing;HPLC;GC;Spectrophotometers;AAS;Microbiology Incubators,TRUE,
cbl,Ceylon Biscuits Limited — Munchee,CBL (Munchee),food,Food & Beverage,🍽️,Leading food manufacturer in Sri Lanka,"A leading Sri Lankan food manufacturer specializing in biscuits, chocolates, cakes, soy products, and snacks.","No. 555, High-Level Road, Makumbura, Pannipitiya, Colombo.","Pannipitiya & Minuwangoda, Sri Lanka",+94 11 500 0000,import.cbl@cbllk.com,https://cbllk.com/,Visit CBL Website,Food Scientist;Quality Assurance Officer;Microbiologist;R&D Technologist,,In-house R&D and QA Labs;Sensory Evaluation Suites;Spectrophotometers;HPLC / GC;Microbiological Incubators,FALSE,
fonterra,Fonterra Brands Lanka (Pvt) Ltd,Fonterra,food,Food & Beverage,🥛,Producing beloved dairy brands like Anchor and Newdale,"A subsidiary of the global dairy co-operative Fonterra, it processes milk from local farmers into brands like Anchor and Anchor Newdale.","No. 100, Delgoda Road, Biyagama, Gampaha District.","Biyagama, Sri Lanka",+94 11 2488032 / Consumer care: +94 11 2488255,careers@fonterra.com,https://www.fonterra.com/lk/en/,Visit Fonterra Website,Dairy Technologist;Quality Assurance Executive;Food Safety Specialist,,ISO/IEC 17025 Accredited Lab;Moisture/Total Solids Analyzers;Titration Setups;HPLC;Biological Safety Cabinets,FALSE,
hemas,Hemas Consumer Brands,Hemas Consumer,cosmetic,Cosmetic Industry,🧴,Specializing in home and personal care products,"Part of Hemas Holdings PLC, it specializes in home and personal care items like hair care, skin care, and oral care products.","75, Braybrooke Place, Colombo 02, Sri Lanka","Dankotuwa, Sri Lanka",+94 11 473 1731,consumercare@hemas.com,https://www.hemas.com/consumer-brands.html,Visit Hemas Website,Formulation Chemist;Quality Control Executive;R&D Scientist,,ISO 9001:2015 Certified QA Labs;pH Meters;Spectrophotometers;GC / HPLC;Viscometers;Stability Chambers,FALSE,2019/SB/007;2020/SP/112
oproma,Oproma Cosmetics (Pvt) Ltd,Oproma,cosmetic,Cosmetic Industry,🧴,Skincare formulation & third-party manufacturing,"Specialized in skincare and healthcare products, manufacturing own brands like OPLEE and providing third-party services.","No. 223/1, Batahena Road, Kirikiththa, Weliweriya, Gampaha.","Weliweriya, Sri Lanka",+94 70 303 0420,info@opromacosmetics.com,https://www.opromacosmetics.com/,Visit Oproma Website,Skincare formulator;Microbiology Analyst;Raw Materials Examiner,,GMP and ISO-certified labs;Skincare Formulation Labs;Raw Material Testing;Microbial Analysis Hub,FALSE,
link,Link Natural Products (Pvt) Ltd,Link Natural,cosmetic,Cosmetic & Healthcare,🌿,Blending Ayurvedic wisdom with modern science,A research-driven manufacturer blending Ayurvedic wisdom with modern science to produce healthcare and personal care products like Samahan.,"P.O. Box 2, Malinda, Kapugoda, Western Province.","Kapugoda, Sri Lanka",+94 115 606 060,info@linknaturalproducts.com,https://www.linknaturalproducts.com/,Visit Link Natural Website,organic & natural product chemist;R&D Specialist;Extraction & Isolation Technician,,Purpose-built R&D Centre for Organic Chemistry;Pilot Plant for Industrial Scale-up;Extraction and Isolation Tools,FALSE,
unilever,Unilever Sri Lanka Limited,Unilever,cosmetic,FMCG / Cosmetics,🧴,"Producing hygiene, home care, and beauty brands","A major FMCG company producing hygiene, home care, and beauty brands like Dove and Sunsilk.","258 M Vincent Perera Mawatha, Colombo 14, Sri Lanka.","Major Factory Complex in Horana, Sri Lanka.",+94 11-4700800 / Consumer Careline: 1323,careers@unilever.com,https://careers.unilever.com/,Visit Unilever Careers,Process Chemist;QA Manager;Product Developer,,Advanced R&D and QC Labs;High Throughput Testing Equipment;Formulation Hubs,FALSE,
nature_secrete,Nature Secrete (Nature's Beauty Creations Ltd),Nature Secrete / NBC,cosmetic,Cosmetic Industry,🧴,Sri Lanka's leading herbal cosmetics manufacturer with a global presence,"Nature Secrete is a premier skincare and hair care brand featuring natural botanicals like carrot and argan oil. It is produced by Nature's Beauty Creations (NBC), Sri Lanka's largest and most awarded herbal cosmetics manufacturer. NBC combines ancient Ayurvedic wisdom with modern technology, maintaining ultra-hygienic facilities that surpass European GMP requirements and prioritizing eco-friendly, sustainable production.","64/3, Kindelpitiya, Puswelhena, Millewa, Horana 12422, Sri Lanka","Millewa, Horana, Sri Lanka",+94 34 2253302,info@nbc.lk,https://www.nbc.lk/,Visit NBC Careers,Chemist - Research & Development;Quality Assurance Officer;Production Executive;Formulation Scientist;Microbiologist,Plant Research Centre (Medicinal/Herbal Plants);Formulation & Product Development;Quality Control & Assurance;Natural Extract Development,International GMP & ISO Standards Facility;Plant Research Centre;Advanced Formulation Labs;Stability Testing Chambers;HPLC & Spectrometry Units;Eco-friendly Wastewater Treatment,FALSE,
lion,Lion Brewery (Ceylon) PLC,Lion Brewery,food,Food & Beverage,🍺,Sri Lanka's premium brewery,"Lion Brewery (Ceylon) PLC is the leading brewer in Sri Lanka, producing premium beers and malt beverages, known for rigorous quality control and modern brewing science.","254, Colombo Road, Biyagama EPZ, Sri Lanka","Biyagama Export Processing Zone, Sri Lanka",+94 11 248 5000,hr@lionbeer.lk,https://www.lionbeer.com/,Visit Lion Brewery Careers,Brewing Chemist;QC Analyst;Microbiologist;Water Treatment Chemist,,GC;Spectrophotometer;Microbiology Labs;pH Meters;HPLC,TRUE,2020/SB/032
uniken,Uniken Lanka Ltd,Uniken Lanka,chemical,Chemical Manufacturing,⚗️,Industrial and water-treatment chemical solutions,"Established in 1996, this company specializes in industrial and water-treatment solutions, including boiler/cooling water systems, effluent/wastewater solutions, and chemical supply for industries like rubber, paint, and food processing.","51A, Sri Sangaraja Mawatha, Colombo 10, Sri Lanka.",,+94 11 2459747 / +94 11 2430995,uniken@sltnet.lk,https://unikenlanka.com,Visit Uniken Website,water treatment chemist;chemical process engineer;quality control chemist,,Water Quality Testing Labs;Wastewater Testing Labs;pH Meters;Spectrophotometers;Turbidity Meters,FALSE,
united_science,United Science Organization,United Science Organization,chemical,R&D / Advanced Materials,⚗️,Focused on nanotechnology and advanced materials,"An R&D organization focused on nanotechnology, advanced materials, and climate technologies such as CO2 capture and graphene production. Primary research led by scientists like Dr. Shehan de Silva.",Operates internationally,,See website,See online contact form,https://unitedscience.org,Visit United Science,research scientist (nanomaterials);materials chemist;R&D chemist,,Advanced Materials Synthesis Labs;Characterization Labs;SEM;TEM;XRD;FTIR Spectroscopy,FALSE,
mas_holdings,MAS Holdings,MAS Holdings,chemical,Textile Chemistry,⚗️,Multinational apparel manufacturer driving textile innovation,"A multinational apparel manufacturer founded in 1987, known for textile innovation and sustainability. A significant employer of textile and materials chemistry professionals in Sri Lanka.","199, Kaduwela Road, Battaramulla, Sri Lanka.",Multiple Locations,+94 11 453 3900,info@masholdings.com,https://masholdings.com,Visit MAS Holdings,textile chemist;dyeing/finishing technologist;sustainability chemist,,Textile Testing Labs;Dyeing/Finishing Labs;Environmental Labs;Spectrophotometers;GC;Fiber Analysis Microscopes,FALSE,
carbon_activated,Carbon Activated Corporation Lanka (Pvt) Ltd,Carbon Activated,chemical,Chemical Manufacturing,⚗️,Manufacturing activated carbon from coconut shells,A subsidiary of a global corporation specializing in manufacturing activated carbon from coconut shells for water and air purification.,"Dunkannawa, Nattandiya, Sri Lanka.","Nattandiya, Sri Lanka",+94 32 2254302,info-srilanka@activatedcarbon.com,https://carbonactivatedlanka.com,Visit Carbon Activated,quality control chemist;laboratory analyst;R&D chemist,,"Adsorption Testing Units (BET Surface Area, Iodine Number);UV-Visible Spectrophotometers;QC Labs",FALSE,
macksons_paints,Macksons Paints Lanka (Pvt) Ltd (Multilac),Multilac,chemical,Chemical Manufacturing,⚗️,Leading Sri Lankan paint manufacturer,"Leading Sri Lankan paint manufacturer established in 1981, specializing in decorative, industrial, and eco-friendly coatings.","Macksons House, 443, Galle Road, Colombo 03, Sri Lanka.",Sri Lanka,+94 11 553 0225,inquiry@multilac.com,https://multilac.com,Visit Multilac,paint chemist;coating formulation scientist;R&D chemist,,R&D Labs;QC Labs;Color Matching Labs;Viscometers;Gloss Meters;Weathering Testers,FALSE,
nippon_paint,Nippon Paint Lanka (Pvt) Ltd,Nippon Paint Lanka,chemical,Chemical Manufacturing,⚗️,"Produces architectural, automotive, and marine coatings","Part of the global NIPSEA Group, it produces architectural, automotive, and marine coatings.","No. 69A, Buthgamuwa Road, Rajagiriya, Sri Lanka.",Sri Lanka,+94 11 460 0400,info@nipponpaint.com.lk,https://nipponpaint.lk,Visit Nippon Paint,coatings chemist;technical executive in paint technology;QC chemist,,Performance Testing Labs;Salt Spray Corrosion Chambers;UV Weathering Chambers;FTIR Spectrometers,FALSE,
jat_holdings,JAT Holdings PLC,JAT Holdings,chemical,Chemical Manufacturing,⚗️,Specializes in wood coatings and decorative paints,"Founded in 1993, this multinational specializes in wood coatings, decorative paints, and industrial chemicals.","No. 351, Pannipitiya Road, Thalawathugoda, Sri Lanka.",Sri Lanka,+94 11 440 7700,info@jatholdings.com,https://jatholdings.com,Visit JAT Holdings,paint formulation chemist;coatings technologist;QC chemist,,Resin & Binder Production Labs;Polymer Synthesis Hubs;VOC Analysis Labs for Environmental Compliance,FALSE,
neochem,Neochem International (Pvt) Ltd,Neochem,chemical,Chemical Manufacturing,⚗️,Supplier of industrial specialty chemicals,"Established in 2009 as a supplier of industrial specialty chemicals for the food, pharmaceutical, and polymer industries.","478, Pannipitiya Road, Pelawatta, Battaramulla, Sri Lanka.",,+94 11 278 5183,info@neochem.lk,https://neochem.lk,Visit Neochem,application chemist;technical executive for product development;lab chemist,,Formulation Development Labs;Application Testing Labs (Food & Personal Care Chemicals),FALSE,
ceylon_oxygen,Ceylon Oxygen Limited,Ceylon Oxygen,chemical,Chemical Manufacturing,⚗️,Leading manufacturer of industrial & medical gases,"Operating since 1936 as part of Linde plc, it is a leading manufacturer of industrial, medical, and specialty gases like oxygen and nitrogen.","No. 50, Sri Pannananda Mawatha, Colombo 15, Sri Lanka.",Sri Lanka,+94 11 476 0400,nayomi@ceylonoxygen.com,https://www.linde.com/careers,Visit Ceylon Oxygen (Linde Plc),QC Chemist;Gas Analysis Technician;Safety Officer,,Gas Chromatographs;Purity Analyzers;Pressure Testing Equipment,FALSE,
microchem,MicroChem Laboratories (Pvt) Ltd,MicroChem,analytical,Analytical Testing Lab,🧪,Precision analytical testing services,"Established in 2003, this ISO/IEC 17025 accredited laboratory provides chemical and microbiological analytical testing services for industries such as food manufacturing, agriculture, and textiles.","No. 134, Dehiwala Road, Bellanwila, Boralesgamuwa, Western Province, Sri Lanka.",,+94 77 3152 797 / +94 11 2710 637 / +94 11 2710 639,info@microchem.lk,https://microchem.lk,Visit MicroChem Website,Analytical Chemist;Microbiologist;Lab Technician;Environmental Analyst,,"Chemical Testing Lab (Water, soil, food);Microbiology Lab;Agricultural & Environmental Testing Facilities;UV-Vis Spectrophotometers;Titration Systems",FALSE,
tech_experts,Tech Experts Ceylon (Private) Limited,Tech Experts Ceylon,analytical,Analytical Reference Lab,🧪,Your trusted lab testing & certification partner,"An analytical testing and certification company providing inspection and consultancy for food, beverages, spices, and environmental samples according to ISO standards.","First Floor, No. 59/1, 1 Sunethradevi Road, Kohuwala, Nugegoda 10250, Sri Lanka.",,+94 11 282 2066 / +94 71 449 1576 / +94 77 796 3656,techexpertsceylon@gmail.com,https://techexpertsceylon.lk/,Visit Tech Experts Website,Lab Analyst;Quality Control Chemist;Environmental Chemist,,Food & Beverage Chemical Analysis;Water Testing;Industrial Environmental Chemistry;HPLC / GC;UV-Vis Spectrophotometer,FALSE,
intertek,Intertek Lanka (Pvt) Ltd,Intertek Lanka,analytical,Quality Assurance & Testing,🧪,Total Quality. Assured.,"Part of a global network providing total quality assurance, including testing and certification for chemicals, agriculture, textiles, and oil & gas.","No. 282, Kaduwela Road, Battaramulla, Sri Lanka.",,+94 11 287 7300 / +94 11 471 4162,kamal.otwani@intertek.com,https://www.intertek.com,Visit Intertek,Quality Assurance Tester;Analytical Chemist;Certification Officer,,SLAB-certified Labs;GC & HPLC;FTIR & UV-Vis;Elemental Analyzers;Wet Chemistry Setups,FALSE,
cecb,CECB Laboratory Services,CECB Labs,analytical,Engineering Material Testing,🧪,Material testing & environmental analysis for engineering,"A specialized division of the state-owned Central Engineering Consultancy Bureau, providing material testing and environmental analysis for engineering projects.","No. 11, Jawatta Road, Colombo 05, Sri Lanka.",Branches in Ampara and Badulla,+94 11 250 5688 / +94 714 222 444,lab@cecb.lk,https://www.cecb.lk/laboratory-services/,Visit CECB,Material Analyst;Environmental Compliance Officer;Chemical Tester,,"Soil, Aggregate & Cement Chemical Analysis;Water Testing;Air Quality Monitoring Units;Noise & Vibration Instruments",FALSE,
lindel,LINDEL Industrial Laboratories Limited (LILL),LINDEL Labs,analytical,Industrial Analytical Testing,🧪,ISO-accredited testing for diverse industries,"A subsidiary of Lanka Industrial Estates Ltd providing ISO-accredited testing for food, petroleum, fertilizer, and solid waste.","LINDEL Industrial Estate, Pattiwila Road, Sapugaskanda, Makola 11640, Sri Lanka.",,+94 11 2401675 / +94 77 3760721,lill@itmin.net,http://www.lill.lk/,Visit LINDEL Labs,Petroleum Tester;Wastewater Analyst;Industrial Chemist,,Water & Wastewater Analysis;Petroleum & Fuel Testing;Soil / Metal Testing;Atomic Absorption Spectroscopy;GC,FALSE,
ansell,Ansell Lanka (Pvt) Ltd,Ansell Lanka,polymer,Polymer & Rubber,🏭,World-class protective solutions from Sri Lanka,"Ansell Lanka is a subsidiary of the global Ansell Limited, manufacturing high-quality medical and industrial gloves and protective equipment at its Sri Lankan facility.","Biyagama, Sri Lanka","Biyagama Export Processing Zone, Sri Lanka",+94 11 248 7000,hr@ansell.com,https://www.ansell.com/en/careers,Visit Ansell Careers,Polymer Chemist;QC Analyst;Materials Scientist;Process Engineer,,Tensile Tester;Spectrophotometers;Rheometers;Thickness Gauges,FALSE,
lalan,Lalan Group,Lalan Group,polymer,Polymer & Rubber,🏭,Sri Lanka's leading rubber manufacturer,"Lalan Group is one of Sri Lanka's largest and most diversified rubber product manufacturers, producing gloves, condoms, and other rubber goods for global export.","Colombo, Sri Lanka","Kuliyapitiya & Weliweriya, Sri Lanka",+94 11 244 7006,info@lalangroup.com,https://lalangroup.com/careers,Visit Lalan Group Careers,Rubber Technologist;Quality Chemist;Lab Analyst;Process Technician,,Rheometers;Tensile Testers;Viscometers;pH Meters,FALSE,2020/SB/009
